Date,Close
2024-10-17,1351.03
2024-10-18,1353.89
2024-10-21,1363.75
2024-10-22,1338.01
2024-10-23,1333.2
2024-10-24,1334.47
2024-10-25,1322.57
2024-10-28,1329.04
2024-10-29,1334.67
2024-10-30,1338.55
2024-10-31,1326.75
2024-11-01,1333.32
2024-11-04,1296.97
2024-11-05,1300.11
2024-11-06,1320.08
2024-11-07,1300.46
2024-11-08,1278.64
2024-11-11,1267.64
2024-11-12,1269.18
2024-11-13,1247.07
2024-11-14,1262.56
2024-11-18,1255.73
2024-11-19,1236.71
2024-11-21,1218.13
2024-11-22,1260.37
2024-11-25,1281.88
2024-11-26,1290.55
2024-11-27,1288.06
2024-11-28,1265.74
2024-11-29,1287.06
2024-12-02,1303.94
2024-12-03,1318.04
2024-12-04,1303.74
2024-12-05,1316.79
2024-12-06,1306.33
2024-12-09,1290.0
2024-12-10,1279.74
2024-12-11,1273.12
2024-12-12,1257.88
2024-12-13,1267.79
2024-12-16,1263.25
2024-12-17,1240.35
2024-12-18,1248.26
2024-12-19,1225.56
2024-12-20,1200.51
2024-12-23,1217.44
2024-12-24,1217.89
2024-12-26,1211.71
2024-12-27,1216.19
2024-12-30,1205.88
2024-12-31,1210.61
2025-01-01,1216.39
2025-01-02,1236.86
2025-01-03,1246.17
2025-01-06,1213.15
2025-01-07,1235.91
2025-01-08,1260.47
2025-01-09,1249.76
2025-01-10,1236.96
2025-01-13,1234.92
2025-01-14,1233.82
2025-01-15,1247.22
2025-01-16,1261.41
2025-01-17,1297.17
2025-01-20,1300.26
2025-01-21,1268.63
2025-01-22,1272.02
2025-01-23,1258.62
2025-01-24,1241.34
2025-01-27,1224.46
2025-01-28,1229.49
2025-01-29,1230.59
2025-01-30,1248.07
2025-01-31,1260.07
2025-02-01,1259.57
2025-02-03,1240.94
2025-02-04,1280.09
2025-02-05,1273.12
2025-02-06,1276.45
2025-02-07,1261.66
2025-02-10,1248.66
2025-02-11,1229.94
2025-02-12,1211.71
2025-02-13,1211.26
2025-02-14,1212.41
2025-02-17,1220.03
2025-02-18,1220.53
2025-02-19,1222.57
2025-02-20,1228.1
2025-02-21,1223.26
2025-02-24,1209.72
2025-02-25,1199.21
2025-02-27,1202.3
2025-02-28,1195.33
2025-03-03,1166.59
2025-03-04,1157.28
2025-03-05,1170.92
2025-03-06,1204.79
2025-03-07,1244.83
2025-03-10,1233.47
2025-03-11,1242.34
2025-03-12,1252.05
2025-03-13,1242.94
2025-03-17,1233.92
2025-03-18,1233.92
2025-03-19,1242.19
2025-03-20,1264.1
2025-03-21,1271.27
2025-03-24,1296.92
2025-03-25,1280.34
2025-03-26,1267.99
2025-03-27,1273.12
2025-03-28,1270.03
2025-04-01,1247.62
2025-04-02,1246.17
2025-04-03,1243.73
2025-04-04,1199.91
2025-04-07,1161.06
2025-04-08,1177.5
2025-04-09,1180.63
2025-04-11,1214.1
2025-04-15,1235.17
2025-04-16,1234.37
2025-04-17,1269.43
2025-04-21,1290.35
2025-04-22,1286.06
2025-04-23,1294.83
2025-04-24,1296.42
2025-04-25,1295.23
2025-04-28,1363.35
2025-04-29,1394.13
2025-04-30,1399.41
2025-05-02,1414.15
2025-05-05,1425.61
2025-05-06,1415.25
2025-05-07,1400.41
2025-05-08,1401.4
2025-05-09,1371.72
2025-05-12,1430.79
2025-05-13,1410.07
2025-05-14,1418.73
2025-05-15,1448.42
2025-05-16,1450.61
2025-05-19,1435.07
2025-05-20,1418.93
2025-05-21,1423.51
2025-05-22,1403.79
2025-05-23,1421.12
2025-05-26,1429.09
2025-05-27,1416.44
2025-05-28,1407.28
2025-05-29,1412.16
2025-05-30,1415.25
2025-06-02,1408.08
2025-06-03,1399.91
2025-06-04,1417.84
2025-06-05,1436.66
2025-06-06,1437.76
2025-06-09,1443.04
2025-06-10,1432.78
2025-06-11,1443.14
2025-06-12,1435.87
2025-06-13,1422.22
2025-06-16,1432.08
2025-06-17,1425.51
2025-06-18,1424.41
2025-06-19,1427.6
2025-06-20,1460.37
2025-06-23,1451.0
2025-06-24,1445.03
2025-06-25,1461.46
2025-06-26,1489.35
2025-06-27,1509.37
2025-06-30,1494.63
2025-07-01,1522.32
2025-07-02,1512.76
2025-07-03,1511.76
2025-07-04,1521.22
2025-07-07,1535.37
2025-07-08,1531.48
2025-07-09,1512.96
2025-07-10,1511.16
2025-07-11,1489.25
2025-07-14,1477.8
2025-07-15,1479.49
2025-07-16,1479.69
2025-07-17,1470.53
2025-07-18,1470.13
2025-07-21,1422.92
2025-07-22,1407.18
2025-07-23,1418.93
2025-07-24,1397.32
2025-07-25,1386.16
2025-07-28,1382.08
2025-07-29,1411.46
2025-07-30,1404.49
2025-07-31,1384.67
2025-08-01,1388.16
2025-08-04,1405.89
2025-08-05,1386.16
2025-08-06,1387.26
2025-08-07,1383.87
2025-08-08,1362.36
2025-08-11,1380.69
2025-08-12,1374.91
2025-08-13,1377.1
2025-08-14,1373.8
2025-08-18,1381.7
2025-08-19,1420.1
2025-08-20,1413.0
2025-08-21,1424.8
2025-08-22,1409.2
2025-08-25,1412.6
2025-08-26,1384.9
